id,name,kind,categories,client_scene_factory_supported,description,source_files,confidence
168,地图研究员A,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
169,灵魂收集器,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
170,地图研究员B,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
177,加菲猫,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
178,起床拉,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
179,考试,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
180,博士帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
181,猴子捞月,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
183,舞月光,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
191,搞怪狼,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
192,电光球,avatar-cosmetic,thadorn,false,,object/itemCFG.py,confirmed-client-config
193,黑铁头盔,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
194,虹光剑,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
195,红十字,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
196,虹眼器,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
197,火凤凰,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
198,烈焰剑,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
199,闪电卡,account-item,platform,false,,object/itemCFG.py,confirmed-client-config
200,通信器,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
201,骑士披风,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
202,月夜披风,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
203,光剑,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
204,包子卡,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
218,包子,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
219,可乐,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
220,小虾米,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
221,哪吒,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
222,英雄,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
223,波波丽,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
224,春丽,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
225,火影,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
226,小倩,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
227,玛利亚,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
228,海王子,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
229,泰坦,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
230,小悟空,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
231,星光幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
232,ceg精英,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
233,ceg比赛服,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
234,ceg冠军,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
236,竹蜻蜓,avatar-cosmetic,thadorn,false,,object/itemCFG.py,confirmed-client-config
237,神舟六号,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
238,宇航员,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
239,宇宙的奥秘,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
240,小皇冠,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
241,紫金勋章,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
243,紫金披风,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
244,紫晶糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
245,紫色火焰,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
246,侠士面具,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
249,恶魔面具,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
250,巫师帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
251,鬼城,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
252,南瓜面具,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
253,霸王龙头部,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
254,霸王龙身体,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
255,黑框眼镜,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
256,草莓糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
257,西瓜糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
258,可爱箭靶,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
259,京剧旗杆,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
260,爱琴海,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
261,缤纷花房,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
262,快乐泡泡谷,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
263,梦幻王国,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
264,泡泡舞,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
265,庆祝礼花,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
266,秋风落叶,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
267,囚房,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
268,时空隧道,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
269,旭日东升,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
270,冲天豆子,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
271,翘翘板,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
272,豆宝宝,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
273,海底世界,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
274,米多追酷比,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
275,米多和酷比,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
276,烛光,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
277,小丑鼻,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
278,多彩蝴蝶结,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
280,太阳神头盔,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
281,阿拉蕾帽子,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
282,兔子发圈,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
283,猫儿发圈,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
285,草帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
286,小恶魔头饰,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
287,武士头盔,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
288,武士铠甲,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
289,机枪扫射,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
291,水宝宝,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
292,蜗牛,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
293,迷你眼镜,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
294,小喇叭,account-item,platform,false,,object/itemCFG.py,confirmed-client-config
296,汉堡,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
297,小笼包,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
298,大长今衣服,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
299,哈里波特,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
300,QQ糖盾,avatar-cosmetic,ear,false,,object/itemCFG.py,confirmed-client-config
301,圈圈眼镜,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
302,黑客帝国墨镜,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
303,可爱眼镜,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
304,奶嘴,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
305,吹泡泡,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
306,布布,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
307,早餐推车,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
308,波波利,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
309,926纪念品-酷比帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
310,926纪念品-小坦克,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
311,926纪念邮票-机械城,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
312,926纪念邮票-大炮,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
313,926纪念邮票-酷比,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
314,大长今帽子,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
319,海盗帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
321,雪人围巾,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
329,雪花幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
330,火焰幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
340,购物券,account-item,kubi,false,,object/itemCFG.py,confirmed-client-config
400,凌波微步,account-item,footprint,false,,object/itemCFG.py,confirmed-client-config
401,熊猫脚印,account-item,footprint,false,,object/itemCFG.py,confirmed-client-config
402,雪山来信,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
403,格里芬日记,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
404,圣诞老人的帽子,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
405,圣诞老人的衣服,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
406,圣诞老人的胡子,avatar-cosmetic,mouth,true,,object/itemCFG.py,confirmed-client-config
407,麋鹿酷比精灵,avatar-cosmetic,thadorn,true,,object/itemCFG.py,confirmed-client-config
408,恶魔酷比精灵,avatar-cosmetic,thadorn,true,,object/itemCFG.py,confirmed-client-config
414,恐龙蛋糖泡,account-item,bomb,true,,object/itemCFG.py,confirmed-client-config
418,庐山升龙霸,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
419,牛蹄脚印,account-item,footprint,true,,object/itemCFG.py,confirmed-client-config
430,鬼仆头巾,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
431,年兽的皮,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
432,鬼仆黑袍,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
433,年兽的角,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
434,鬼仆蛇刃,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
435,麋鹿铃铛,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
436,平安的祭品,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
437,珍贵的祭品,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
438,鲜花头盔,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
439,雷神之锤,avatar-cosmetic,fpack,true,,object/itemCFG.py,confirmed-client-config
440,鲜花盔甲,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
450,藏宝图碎片,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
451,水手帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
452,水手衣,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
453,船长日志,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
454,海盗帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
455,海盗衣,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
456,海盗眼罩,avatar-cosmetic,mouth,true,,object/itemCFG.py,confirmed-client-config
458,水手弯刀,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
459,虎克船长的火枪,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
460,藏宝图,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
461,葡萄牙队服,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
462,英格兰队服,avatar-cosmetic,cladorn,true,,object/itemCFG.py,confirmed-client-config
463,小小罗面具,avatar-cosmetic,mouth,true,,object/itemCFG.py,confirmed-client-config
464,世界杯门票,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
465,鲁尼面具,avatar-cosmetic,mouth,true,,object/itemCFG.py,confirmed-client-config
466,刺客球鞋,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
467,贝氏弯刀,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
468,少林金刚脚,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
469,世界杯决赛门票,account-item,platform,true,,object/itemCFG.py,confirmed-client-config
473,精灵之羽,account-item,item,true,,object/itemCFG.py,confirmed-client-config
477,时空之沙,account-item,item,true,,object/itemCFG.py,confirmed-client-config
1005,火焰糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
1006,鞭炮幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
1007,鞭炮泡泡盾,avatar-cosmetic,ear,false,,object/itemCFG.py,confirmed-client-config
1008,风火轮,account-item,footprint,false,,object/itemCFG.py,confirmed-client-config
1024,QQT人物对对碰,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1025,爱情证书,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1026,爱心糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
1027,雪球糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
1028,情侣头饰,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
1029,玫瑰花蕊,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
1030,情侣帽-新郎冠,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
1031,情侣帽-新娘盖头,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
1032,情人节心形挂坠-男,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
1033,情人节心形挂坠-女,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
1034,情人节肚兜-男,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
1035,情人节肚兜-女,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
1036,情侣装-男生版,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
1037,情侣装-女生版,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
1038,情侣装-男孩版,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
1039,情侣装-女孩版,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
1040,玫瑰花飘落,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
1041,爱心飘落,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
1042,数字脚印520,account-item,footprint,false,,object/itemCFG.py,confirmed-client-config
1043,爱心脚印,account-item,footprint,false,,object/itemCFG.py,confirmed-client-config
1045,玫瑰幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
1046,情人翅膀-左,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
1047,情人翅膀-右,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
1048,爱心的框架,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1049,情侣边框LOVE,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1050,情侣边框YOU,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1051,爱心幻影,account-item,huanying,false,,object/itemCFG.py,confirmed-client-config
1052,求爱玫瑰,avatar-cosmetic,mouth,false,,object/itemCFG.py,confirmed-client-config
1053,情人披风,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
1054,玫瑰花园,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1055,玫瑰霓裳,avatar-cosmetic,cladorn,false,,object/itemCFG.py,confirmed-client-config
1058,丘比特,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
1061,梦中情人边框,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1062,大众情人边框,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1063,心语心愿,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1064,爱的梦幻,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1065,故乡,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1066,海边阳台,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
1067,恋爱快车,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1068,花飞蝶舞,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1069,心房,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1070,绽放玫瑰,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
1071,恋爱心声,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
